,All,Coal,Petroleum Liquids,Petroleum Coke,Natural Gas,Other Gasses,Nuclear,Hydroelectric,Other Renewables,Hydro-electric storage,Other
Dec-09,100.0,47.48378777028704,0.4188218780224075,0.27217716051319946,20.424699078763048,0.2653299363493454,20.173634192755067,7.05549389883797,3.7263164501707524,-0.10927028561483793,0.2892952209228346
Jan-10,100.0,48.01679978501595,0.8829306537897865,0.3216449604800572,20.548985059162174,0.2518305504533781,20.104610798516166,6.201015633441102,3.5475139698080382,-0.15652833994076856,0.2809198879644944
Feb-10,100.0,47.86588893927784,0.3912615134408182,0.35091560198289207,20.70402051699063,0.2580261779285971,20.40596118660766,6.4397078830906835,3.40938589769653,-0.10977841024598495,0.28429793422678157
Mar-10,100.0,46.25906563132672,0.4074728992081187,0.38376771482022504,20.31950744470926,0.32354373286179233,20.70519720150688,6.690628123318214,4.694267189462085,-0.1041106071089926,0.3209810102252633
Apr-10,100.0,44.111188325225854,0.423905489923558,0.3707435719249479,22.461431549687283,0.3276580958999305,20.01772063933287,6.635510771369006,5.422863099374566,-0.11640027797081307,0.3460736622654621
May-10,100.0,43.68901249024199,0.5644394028103045,0.34854361826697894,22.463224531615925,0.31012148711943793,20.32652712724434,7.647528786104606,4.461541276346604,-0.13447745901639344,0.3232338017174083
Jun-10,100.0,44.04179274481782,0.706836030540852,0.354748655388161,24.555100476635292,0.25654741469931525,18.17681013628416,7.944986014972362,3.78141308657943,-0.12561242711418757,0.30684561114969966
Jul-10,100.0,43.834279089633284,0.7248764415156508,0.35169931051314907,27.975837451949477,0.23503569467325644,17.551528464213803,5.983769601562023,3.198974922203917,-0.13594484105192506,0.27969979864543293
Aug-10,100.0,43.470764324356054,0.5916103344713904,0.2829653398029759,29.62967492002622,0.2594867982117177,17.504720165132408,4.920466440359613,3.203842654640436,-0.14674088494536347,0.28320990794455153
Sep-10,100.0,42.984582929965754,0.4840410929214408,0.320189570720571,26.87627331705414,0.27568668814749525,20.04681472062882,4.9892355040529415,3.822335245416059,-0.12166047768353827,0.3225014087763152
Oct-10,100.0,42.95582308449245,0.3965302788702297,0.3270319335154147,25.246085846694445,0.26240496750789977,20.37892836149532,5.742706733220534,4.47874617190773,-0.14224427694116348,0.353986899237142
Nov-10,100.0,44.17666089343486,0.39867978170648016,0.2810365674324368,22.622463318192214,0.2963955426293258,20.47482108427829,6.392601548968988,5.157347799091533,-0.15260939184993955,0.3526028561158132
Dec-10,100.0,46.18868383045353,0.6613847933966459,0.3114998108356645,21.42196349818706,0.26289700347123457,20.34773099450733,6.3981729762868005,4.241423399490222,-0.14636072672243103,0.3123282677793764
Jan-11,100.0,47.06976564739082,0.5241517670142639,0.4285257611499372,20.46286293789546,0.2562887188871007,20.046462664520824,7.035814281619965,4.062589563261977,-0.18160673736193478,0.2951453956215966
Feb-11,100.0,44.17089551523823,0.3886601921903892,0.3886601921903892,21.053438381231896,0.2577229047638817,20.69096564652681,7.706457763144028,5.14679347357462,-0.13189536513938435,0.3279819370415199
Mar-11,100.0,42.3096231683976,0.40036396724294815,0.44429104828841265,20.691851526466067,0.29650779705688557,20.602428540052085,9.76875529478209,5.224184995764174,-0.10950393774905086,0.3708700699695648
Apr-11,100.0,41.16653053395987,0.48247194949752154,0.3191127013468871,23.15766151566959,0.3035704247009765,18.03796945115922,10.315442078564555,5.993697110789978,-0.1541000195105175,0.37731356708476493
May-11,100.0,42.36407232995909,0.41899959212429083,0.31610367458934335,23.249842411657827,0.2703721556849222,17.61683167093082,10.069277071205212,5.4500846651093235,-0.12885164448070008,0.3738860667185781
Jun-11,100.0,42.98161407783492,0.3736467542497559,0.3317678603964354,24.662589366568135,0.27547610047671234,17.749580531209293,8.743170884922783,4.700225982862286,-0.15419047282358925,0.3361189143032739
Jul-11,100.0,42.17553195300614,0.4093691559209254,0.34392741220894546,28.570814415335345,0.2622446518093209,17.278769886289,7.472061868720041,3.343738729809192,-0.16909764433606483,0.31263957123715946
Aug-11,100.0,42.13440718701339,0.3185645652885162,0.31954854850176256,29.484073001714588,0.26739743819970435,17.549094612445913,6.3378358765199465,3.4572250197411636,-0.17022909589162408,0.30257483807326246
Sep-11,100.0,41.70703486806479,0.3311326868502742,0.38617350879321516,27.147257872169174,0.2971020711328644,19.781848957331526,6.326143502667704,3.861143251137066,-0.17252042576739038,0.3349796260183292
Oct-11,100.0,41.019569224390104,0.3608693257833683,0.3070952610795629,25.532638589694166,0.3048276800378362,20.517397205692276,6.409803724663831,5.361209462939627,-0.19468802943968072,0.38095361501009073
Nov-11,100.0,39.94153277518727,0.3558016718074856,0.23051476149449857,24.80779475307627,0.3100933239505166,21.201438990864908,6.800678719640121,6.11275164254099,-0.15060736200353828,0.3903295604764191
Dec-11,100.0,39.59283969738488,0.35086674212188,0.2999344731041878,25.651396914278905,0.2993387740513493,21.39661642937988,7.068564960981711,5.118544111514862,-0.1516054089473998,0.37350330612974325
Jan-12,100.0,38.02094684943126,0.3475433398325901,0.38200314556175374,26.731678869953996,0.29953523441503743,21.31824955968026,6.8056643673827635,5.862290369515147,-0.10249583242520455,0.3348786249064873
Feb-12,100.0,36.805445571755946,0.2931584510115098,0.321278390634444,29.286755508437594,0.33743927547521085,20.63648028856876,6.556147762202276,5.493407975073452,-0.07660259414523464,0.3464893709860402
Mar-12,100.0,34.140865120191535,0.3141479827881847,0.18441230709502085,29.845999547057488,0.34811867093726745,19.97120579766411,8.38170112265036,6.5356368695202045,-0.09091203209421204,0.3688246141900417
Apr-12,100.0,32.61366600164618,0.32686490825765757,0.18223142035504641,32.12048951830613,0.3580271585785949,18.924631387837916,8.90664534988094,6.28766144247347,-0.08976082972878681,0.36920492228067026
May-12,100.0,34.46582034732375,0.3203413804989956,0.1934529116000428,31.901009164497378,0.29775701601112575,18.44815699699271,8.511036622329993,5.615780527523208,-0.11024735822368029,0.3565952287558392
Jun-12,100.0,36.37802258712672,0.3619483128940622,0.21118270629806696,32.03713711633063,0.26938266472666805,18.0530728192337,7.388069008522137,5.118547772465877,-0.14051132820619414,0.32314834060832814
Jul-12,100.0,38.69612508169718,0.3692350732320248,0.19510853967649122,33.48993466637404,0.25130172848319393,16.67201265673197,6.38890027758953,3.7926784857262064,-0.1492857676881929,0.29374808569340705
Aug-12,100.0,38.45868081880212,0.3037654788981552,0.23148850138994184,33.29188779378317,0.265352539802881,17.589588071771544,5.821076573161486,3.8741470811220617,-0.13368713671973717,0.297700277988375
Sep-12,100.0,37.53564106089316,0.29230153084707666,0.2636093560400017,32.28228317981027,0.27018464609995635,19.2808425935335,5.261427555247381,4.603300795610097,-0.12881590981093052,0.3392251917294806
Oct-12,100.0,38.82503561664934,0.3404438283726721,0.23872781179007352,29.4318663124254,0.2871792897205858,19.16977911259995,5.295008535161013,6.168739491484091,-0.1212891301836664,0.3641882612657708
Nov-12,100.0,42.07094674092085,0.322247496535676,0.2693021674902607,26.20107459408581,0.2859701414490025,18.53511386513975,6.122375611159045,5.953734933458834,-0.13367061468873376,0.37257824143070045
Dec-12,100.0,40.06723743780537,0.36905882528725326,0.23906644553020454,25.098689617045437,0.2877762338069837,20.495166375304436,6.8683789800827775,6.395326250989884,-0.17212784078174728,0.3514276749294007
Jan-13,100.0,39.575375322021856,0.496608561841091,0.2985955692085498,25.37747122220726,0.32782469402550957,20.46210673215519,7.114999412551903,6.166199096189611,-0.13325042195966955,0.31464293185315517
Feb-13,100.0,39.88887023452836,0.3648362434135758,0.27992302923855766,25.920485070771775,0.3125322863932224,19.85064314495299,6.592235768157867,6.5638237421221195,-0.10331645831180908,0.3293212108688914
Mar-13,100.0,40.145790245206655,0.30424186921287405,0.3094662245427921,26.037265019253287,0.3288270707654295,19.34455852660887,6.310406608502177,7.0098555926723805,-0.1419795389660079,0.3512610671821364
Apr-13,100.0,37.36140017973294,0.3324057153738479,0.29766180140512405,26.06996221599356,0.34075761777017566,18.96449773329369,8.384307777625589,8.00479733273645,-0.09755021998910912,0.34209392215358814
May-13,100.0,37.097865630315745,0.3312059995778443,0.41749959646879153,26.017209053998684,0.3377245806379518,19.508561069792275,8.831125293336148,7.218242093892401,-0.10367647971790066,0.3445535703199692
Jun-13,100.0,38.753948035860915,0.29005977753676193,0.3662880475754085,27.917202646690377,0.29370304044302076,18.617073450982698,7.674393186537863,5.87237930290368,-0.10032985541851283,0.3152823668877847
Jul-13,100.0,38.715600512604915,0.3692578878854034,0.34291850493610165,30.58686171317425,0.290746265632677,17.864939748661506,6.902691175800185,4.708924492080457,-0.08610952118040957,0.3041692204049174
Aug-13,100.0,38.783137721069544,0.2792730594934672,0.3560991055994767,31.44573122303951,0.29666273884854366,18.51715349117279,5.614790052065219,4.511453829103575,-0.12068956567329206,0.3158692503750461
Sep-13,100.0,39.041945673884925,0.28274686822646733,0.35841978524143475,29.935678020537278,0.31882349145453315,19.299233591735813,4.974761029034349,5.570171965237387,-0.12876128127740577,0.34668755004531576
Oct-13,100.0,38.42057632769707,0.3000714455822815,0.3410335794236723,28.129554655870447,0.34039850758117013,20.063189648328965,5.461300309597523,6.686671429705486,-0.11844089862665713,0.37628006668254343
Nov-13,100.0,38.44979970750938,0.3144274178164939,0.2702359000445095,26.796909773001843,0.33700006358491763,20.65715012399059,5.619952947160933,7.321803268264768,-0.1313028549628028,0.3633878044127933
Dec-13,100.0,40.184578254551425,0.4073412063305016,0.2869517677418624,26.32591262276182,0.28496888287099065,20.195399140561044,5.984913078825339,6.125981173924497,-0.11925636151956964,0.32321023395208787
Jan-14,100.0,41.64256688517724,1.5673914714606454,0.3069574368258799,24.138305796406108,0.24731544780530731,19.393719300942873,5.734643513204736,6.757569893784245,-0.07687189695984901,0.28813707584605475
Feb-14,100.0,44.17922780232282,0.5694518524913132,0.28241358791664484,23.41473791957379,0.25189072197368867,19.3123414121296,5.363391676198639,6.474855633010325,-0.1371987408547019,0.288888135237878
Mar-14,100.0,41.119458985416834,0.6033373415184693,0.35742162189855375,23.553060234282942,0.2609840847927045,18.804415633730233,7.310266679926827,7.7906461616353395,-0.12687563475488292,0.3275862588564316
Apr-14,100.0,36.71731154326878,0.3060867929092693,0.28290349026301287,25.798983966562282,0.286935368984101,18.944790140712566,8.547582888706708,8.895668418293978,-0.1270041797142742,0.347077559906998
May-14,100.0,36.58116710140152,0.29564023047619636,0.33382709357937174,27.445576021113638,0.29071289330159306,19.385068320609513,8.17445237266683,7.336189135837447,-0.18508310262103542,0.3421419750615147
Jun-14,100.0,38.44651240778001,0.24843505477308298,0.31606304493628434,27.517885088307626,0.27079141515761235,19.0414710485133,7.194276771741561,6.836575005589091,-0.18248379163872122,0.31047395484015206
Jul-14,100.0,38.78607996889378,0.2571447087032597,0.272179379171797,29.831637612598016,0.27710452984252476,18.648175750113406,6.313783941416629,5.454993195515521,-0.14127405871298035,0.2999157540016849
Aug-14,100.0,38.6254771203397,0.26383096084946284,0.2695551039842638,31.834041479222662,0.29531374809086813,18.50693531978446,5.153550139591036,4.949042116684057,-0.21855819241967336,0.3208122038731634
Sep-14,100.0,37.10394459269807,0.27332935157098176,0.2998090519384612,31.359026488526936,0.33129047348646445,19.87007293686357,4.72927448563182,5.852896437891863,-0.1594666399908204,0.33923438359670827
Oct-14,100.0,35.38621001023789,0.28869571852803333,0.19362961738278892,31.05863575375654,0.34401846635168737,19.837020456698824,5.455649597161371,7.223116006079143,-0.14244017830458033,0.35482865845516
Nov-14,100.0,37.521378558762294,0.3033156845390893,0.24410140759895557,26.569572050861286,0.3379623359402314,20.517117020639954,5.866308021329739,8.443388946458324,-0.16724883540005858,0.3637898397119918
Dec-14,100.0,36.87495006702115,0.2802164798063636,0.33998810485481706,26.938657150550522,0.34117170139043,21.708048160543033,6.607131760925336,6.69353430802508,-0.14203158427355284,0.3586297502907209
Jan-15,100.0,36.74570609760496,0.5346050664025546,0.29019039930309914,28.211999900125672,0.3456761353075158,20.604628065240128,6.696573478373047,6.4144285107905885,-0.1528632026921679,0.3090555495446008
Feb-15,100.0,37.949347870267424,1.5603892455379025,0.32875467728245406,27.32847971882509,0.30633958564955943,18.96645506820165,6.66056976174252,6.742758431063132,-0.13628375712799914,0.2928905306698227
Mar-15,100.0,33.4515315404207,0.3271520810079121,0.22108203777820262,30.6955604753418,0.3364023754756193,19.902625233569935,7.4868799990133015,7.382660014677134,-0.1261123479097418,0.3222185906251349
Apr-15,100.0,30.250155518616346,0.3123969582938163,0.27500450409107446,31.564670249543642,0.33279284240440277,20.32245892778837,7.638598530816481,9.006142560431304,-0.07274531999442513,0.3705252280089878
May-15,100.0,32.46076060945594,0.3156532345921183,0.28616743588390664,31.542045197073765,0.34110413452973254,20.431175490162605,6.246333673713255,8.126286123983128,-0.11483942654777164,0.3656239039818243
Jun-15,100.0,34.66908326505616,0.2869020919024643,0.22648713216531077,33.5366476042296,0.30841974879514916,18.901330508451196,5.631557023170103,6.223844322511055,-0.10979522363190461,0.32579939474693304
Jul-15,100.0,34.728550563621155,0.29984895202666434,0.2753816770070031,35.26308562297927,0.308337598462057,17.82915350718414,5.246482829215924,5.855668043991162,-0.12807869474577754,0.321070568115146
Aug-15,100.0,34.33339621968071,0.2786545041071583,0.26514243757680206,35.49237460547315,0.3049138032133224,18.461816939542423,4.875051626291932,5.818091892250193,-0.15959535184911355,0.32989837906190567
Sep-15,100.0,33.69199577372284,0.28727262343299353,0.29355492732516636,35.155487021331275,0.34552671406950514,18.982837888003658,4.595790856392244,6.467060738456267,-0.15534424169736427,0.33581769896341984
Oct-15,100.0,30.991640242144708,0.3026808878639377,0.2648858140354249,35.26792863777586,0.2901892956663784,19.400723871752987,5.326543031933634,7.9139041030075905,-0.14189167547484063,0.383716088530156
Nov-15,100.0,29.00036239232127,0.33080766941841017,0.23771606395393297,34.03462342783239,0.2998879576034231,20.03597325611163,6.429305237400218,9.330771097716264,-0.0947539555620572,0.39597179324354426
Dec-15,100.0,27.57629353908349,0.29210934996425664,0.23079103704981885,33.86126654670052,0.3420267705277689,21.45647940444203,7.138191140582246,8.813197919491213,-0.08658515542189464,0.37653757980624647
Jan-16,100.0,32.16742176380864,0.39578808893324335,0.27387628503546785,31.199215228201886,0.3388014085066087,20.56198506438644,7.262257806608187,7.563918642299426,-0.08845693678164178,0.32547616482475883
Feb-16,100.0,29.541196114920847,0.4139368292247686,0.2899788411043414,31.447727330665103,0.3384148673107808,20.916078211436,7.692087082876591,9.15759553368853,-0.12714456879190353,0.3301297575649425
Mar-16,100.0,23.70781829469791,0.28709674240458305,0.30450649909502114,34.14053286994912,0.3931977124236681,21.729018779543207,8.997230863228294,10.210658055954301,-0.1261386145118534,0.3564072831910442
Apr-16,100.0,24.61303743852116,0.284312955864936,0.34335994429786987,33.78102100093178,0.38636526535307025,21.411188892339933,8.832473795765683,10.125363923996627,-0.15427305648373477,0.37680852734080356
May-16,100.0,25.78211047537295,0.31054038445152066,0.3073844862355499,34.878671493087005,0.33231608214171876,21.010707962646787,8.043122193223025,9.060899367873587,-0.10130433273266072,0.3752362978789208
Jun-16,100.0,31.53920587979473,0.2641993563538314,0.27316908758806646,35.74927154909977,0.2834978690093068,18.25883926241628,6.316049839088459,7.13120814125424,-0.13508958858832737,0.31937679394624685
Jul-16,100.0,33.082954934315104,0.30894833791618836,0.2545850797125543,36.82042893581495,0.26138048698800853,17.07321808646185,5.206980824816827,6.885689114971011,-0.1902714037127193,0.29584290959924087
Aug-16,100.0,33.09292662634405,0.30693332617643543,0.2630159981066752,37.799644269642634,0.2596002059234716,17.451282263987057,4.77478950180671,5.969096840148246,-0.2200746106606874,0.30302956368134565
Sep-16,100.0,32.46615087040619,0.2690863579474343,0.27875753783138013,35.75008533394015,0.2901353965183753,18.616452383661393,4.655819774718398,7.546080327682331,-0.20337922403003755,0.3305267948572079
Oct-16,100.0,31.697449990413496,0.2994184188662363,0.20291429667028826,32.8810634626446,0.29174921710231994,19.407234613663963,5.540678724356106,9.506295136447882,-0.17926759123154598,0.3524637310666582
Nov-16,100.0,29.266322185380307,0.3601905306919361,0.2689647046942588,31.626411728072977,0.34100281083264605,21.94098934576608,6.331274300237322,9.701243835524211,-0.20433238516822916,0.36759631730429365
Dec-16,100.0,34.38065485582922,0.3375903691200357,0.25160036943851716,27.915191277081785,0.3002411773391741,20.748199855814747,6.52250071658333,9.43371097516134,-0.21801504969758737,0.3280359247109781
Jan-17,100.0,33.4867339887461,0.3199637645391883,0.2740887420371994,27.7750033390048,0.30399461113659726,21.2305539263793,7.7313930328035445,8.689832585202693,-0.12630148600231117,0.3150278443965693
Feb-17,100.0,29.824157629511568,0.29850951348788957,0.2483571671481521,28.455273381813935,0.3359520186319402,21.833446118861062,8.203687227983634,10.636419534682409,-0.17450268452456605,0.3387000924039806
Mar-17,100.0,27.97298016395957,0.2992465622642573,0.21880057219949353,29.803830731620284,0.331800581590076,20.37537288438002,9.269443983610303,11.561372151914583,-0.16308311604568831,0.3299224650905096
Apr-17,100.0,27.528074676269704,0.291069579167541,0.14587324258280254,29.974074500274146,0.33879145203105643,19.204838524074162,9.953564248532807,12.358272806655341,-0.14858086657505873,0.35334493098943354
May-17,100.0,28.67966639257606,0.29985100187329594,0.26182865833678526,30.317100162599615,0.32643572987443353,18.9533654410901,10.079630534105732,10.879027122605056,-0.13075976679629298,0.3341638484794154
Jun-17,100.0,29.977414047904528,0.2763293645261133,0.25123386219780836,32.72202548587681,0.27688704235563116,18.68527451691158,8.525499818754707,9.138666592309622,-0.15838050358308006,0.3042132560020076
Jul-17,100.0,31.566457456301894,0.22742048316964827,0.21975740167154054,36.34822031112111,0.25881439769415404,17.628548192130758,6.574923925376417,7.066844318319461,-0.18762189861495981,0.29638821665261766
Aug-17,100.0,31.04898957220849,0.25153506549526167,0.19878545981805285,36.71892255682276,0.29441036075013577,18.809002252901877,5.725540943308466,6.804439282085663,-0.16578447498551335,0.31415898159480504
Sep-17,100.0,29.22643778050261,0.27708003476149096,0.21190223925905646,35.157914786728725,0.3151748193473887,20.267020630706778,5.699932143664956,8.719241437601934,-0.18035499577385983,0.3056511232009143
Oct-17,100.0,28.16669856399283,0.30527309863176155,0.17946167771569127,33.53768538359934,0.3131167034270278,20.705547938543788,5.552644706664868,11.063875180010731,-0.14526356080833053,0.32096030822229404
Nov-17,100.0,29.522792831671474,0.29689573605806824,0.2449795417746902,30.84860264318324,0.32480069048538396,21.615956442312996,6.453182949423892,10.499725817598941,-0.15509963042159194,0.347838501698633
Dec-17,100.0,30.392539999942947,0.5585301358101111,0.21023325336672724,31.821099203281577,0.3123546980143369,21.023325336672723,6.346362850614582,9.198346659516265,-0.1871275633766256,0.32433542615735256
Jan-18,100.0,31.947163605880352,1.4877644430993708,0.25845052881924263,29.57906041850238,0.29380334726912866,19.992822306557144,6.71275031536321,9.577935556097156,-0.14649993706127018,0.29701723985548195
Feb-18,100.0,26.72133603423457,0.26183978271206093,0.24555621413544024,32.13562258596096,0.35563313771339616,21.100248161585107,8.109868493900176,10.848439057116245,-0.10258648203271042,0.3237173433032196
Mar-18,100.0,25.05741768060541,0.2579522322191662,0.1995244976924153,33.17390020667258,0.3598899818190294,20.83290600282815,8.037232141469707,11.889422404549904,-0.15228505275589327,0.34435069072148927
Apr-18,100.0,24.362828301617302,0.28964614674297556,0.22122056620507083,32.77518875163175,0.36504715053959885,19.64179540751419,9.338763091374723,12.789272463354115,-0.12522545564461215,0.341463576664884
May-18,100.0,25.12381053450776,0.3065784664001792,0.15240487223931987,34.0670581437853,0.34401641373943187,19.84505995967314,8.9744950298914,10.986121428655654,-0.11496692490006721,0.3154220760078767
Jun-18,100.0,27.275121256499485,0.2864474868666783,0.22410619516586278,35.22444208574615,0.29316529847236966,18.726034207096696,7.415657875290544,10.374450818901234,-0.11635249701057383,0.29665856050732914
Jul-18,100.0,28.029940454354414,0.240028958959421,0.22180813717606415,40.10402874516845,0.2847307084012565,17.602771508465395,6.097901690163429,7.305577757964321,-0.15645612304642423,0.26991110668412627
Aug-18,100.0,28.193568294020842,0.2563964422850874,0.21525546587258054,39.67190071311026,0.318597680432568,17.700905101481077,5.39167189091764,8.153749706135882,-0.1829304129770394,0.2806402319567432
Sep-18,100.0,27.07666073962721,0.2958845405235614,0.2240869648135787,39.84905681544097,0.30962704524930024,18.15272690558058,5.375282562724718,8.604210254713118,-0.16911694591062323,0.2815811172375883
Oct-18,100.0,26.844679607469164,0.31224044052050326,0.17288583997292892,37.924139416125755,0.31254806657027717,18.272064478420035,6.013474020980096,9.965853508475098,-0.1513520164887563,0.333466637954902
Nov-18,100.0,28.784119876204002,0.3119708744487791,0.2034322998393629,33.574082228824125,0.32406517276239977,19.832788573058867,6.795445101188963,9.94740530784641,-0.10636780311722788,0.33336847915749257
Dec-18,100.0,29.308017715868324,0.28221518469610746,0.23225783833685862,32.123158005445646,0.32720601124186366,20.934465310319844,6.660103069893541,9.952029261566148,-0.15250137309665432,0.33275682750400243
Jan-19,100.0,28.050282295839366,0.3927956878650317,0.22238963219534702,33.861045398063546,0.28493671625028844,20.48792285303659,6.8935226239752705,9.565256067762121,-0.08978981399887137,0.33191652605155547
Feb-19,100.0,25.35159000513826,0.2584987408098147,0.21948604741152367,35.64967235681073,0.3006831978990237,20.526068725775655,7.2573125011894115,10.241942134343223,-0.1233816075767091,0.31812789819907256
Mar-19,100.0,23.96796603273754,0.24961532931787106,0.17558725371134556,35.502580276106364,0.33220863681275487,19.908046117655694,8.055600591001,11.604359703031173,-0.12511356579780547,0.3294555265629254
Apr-19,100.0,20.17895087774833,0.2633413368445512,0.13503820469906014,35.139904294619015,0.31924243903917454,20.400871518388435,9.368485922014596,13.887046098204092,-0.03468562365088078,0.341804932093631
May-19,100.0,21.739787879429386,0.28337179165368764,0.22288688415023242,35.47349097716393,0.3187554625432089,20.299944656309634,9.672141558877522,11.763709660347002,-0.11129222980635757,0.33780820840679726
Jun-19,100.0,22.234238008826885,0.2709213875025125,0.1593821746749368,39.09166315157726,0.28564229884016207,19.478313549749604,7.948725933433172,10.328700964502788,-0.10899136278836709,0.3116869881298498
Jul-19,100.0,24.5564314695454,0.24466024149233,0.1927552301000329,41.98262522388605,0.2887673169008078,17.59384937799276,6.0616767999220205,8.949106283430606,-0.1515723806854873,0.28194412291496596
Aug-19,100.0,23.408640586261487,0.2606215088666076,0.17026276223950296,43.62858821303755,0.2855137255682893,17.90024195234634,5.620413609072715,8.568398833052882,-0.14412593470273716,0.3014447442573656
Sep-19,100.0,23.75734560372547,0.2558487637210334,0.1610488967734782,41.561703071293934,0.30823816387626124,18.31245149129615,5.135269985585985,10.37781350482315,-0.18599623018072955,0.31655394167867834
Oct-19,100.0,20.83408732114889,0.2938992505881105,0.062398991632295224,40.90659494942562,0.2882833413412039,19.35398323963085,5.711379704103982,12.3222408725875,-0.11637411939423058,0.3431944539776237
Nov-19,100.0,23.915706701868015,0.2845864316533554,0.10541410649673787,37.340968733479585,0.3314371456519055,20.299338075385332,6.400187402855995,11.14097316530388,-0.16112846908960832,0.3425167063948059
