date,year,month,decade,gas_ppi,gas_index_2024base,mom_pct,yoy_pct,rolling_vol_12m,shock,direction,event
1994-10-01,1994,10,1990,69.5,95.42061153857156,-6.3342318059299245,-22.085201793721975,6.0363058334873765,True,down,
1994-11-01,1994,11,1990,67.7,92.94928634764453,-2.5899280575539474,-20.539906103286388,5.986881140788964,False,down,
1994-12-01,1994,12,1990,73.5,100.91244529618719,8.567208271787297,-14.035087719298245,6.676901987984392,True,up,
1995-01-01,1995,1,1990,72.8,99.95137438860445,-0.9523809523809601,-21.636167922497318,5.943330622005824,False,down,
1995-02-01,1995,2,1990,67.0,91.9882154400618,-7.967032967032961,-19.567827130852333,5.669120339667939,True,down,
1995-03-01,1995,3,1990,65.3,89.65418609307515,-2.5373134328358304,-27.039106145251402,4.8924688613577025,False,down,
1995-04-01,1995,4,1990,66.3,91.02714453247906,1.5313935681470214,-23.529411764705888,5.019883983863791,False,up,
1995-05-01,1995,5,1990,67.3,92.40010297188296,1.5082956259426794,-15.239294710327467,4.690019802548361,False,up,
1995-06-01,1995,6,1990,68.9,94.59683647492922,2.377414561664204,-12.340966921119579,4.807415335292471,False,up,
1995-07-01,1995,7,1990,67.2,92.26280712794258,-2.467343976777947,-9.066305818673893,4.577127395640748,False,down,
1995-08-01,1995,8,1990,59.6,81.82832298847288,-11.309523809523814,-22.49674902470742,5.230091540838784,True,down,
1995-09-01,1995,9,1990,60.8,83.47587311575757,2.0134228187919323,-18.059299191374667,5.324752618073196,False,up,
1995-10-01,1995,10,1990,63.5,87.18286090214812,4.440789473684226,-8.633093525179858,5.346352682791882,False,up,
1995-11-01,1995,11,1990,67.0,91.9882154400618,5.5118110236220375,-1.0339734121122657,5.580752079517472,True,up,
1995-12-01,1995,12,1990,73.3,100.63785360830639,9.40298507462687,-0.27210884353742193,5.700508373395758,True,up,
1996-01-01,1996,1,1990,83.5,114.64202969022625,13.915416098226462,14.697802197802211,6.92766190945124,True,up,
1996-02-01,1996,2,1990,96.5,132.49048940247704,15.568862275449092,44.029850746268664,7.362439632567723,True,up,
1996-03-01,1996,3,1990,85.8,117.79983410085524,-11.088082901554408,31.393568147013774,8.331855979190792,True,down,
1996-04-01,1996,4,1990,92.8,127.4105431766826,8.158508158508159,39.96983408748114,8.471805422830284,True,up,
1996-05-01,1996,5,1990,88.0,120.82034266754384,-5.1724137931034475,30.75780089153046,8.803890417562524,True,down,
1996-06-01,1996,6,1990,78.9,108.32642086896828,-10.34090909090909,14.513788098693748,9.567241256004875,True,down,
1996-07-01,1996,7,1990,87.3,119.85927175996112,10.646387832699599,29.910714285714278,9.812118117948335,True,up,
1996-08-01,1996,8,1990,88.2,121.09493435542463,1.0309278350515427,47.98657718120805,8.812312129047063,False,up,
1996-09-01,1996,9,1990,76.6,105.1686164583393,-13.151927437641731,25.986842105263165,10.069816343290325,True,down,
1996-10-01,1996,10,1990,75.2,103.24647464317383,-1.8276762402088642,18.4251968503937,10.117379265079379,False,down,
1996-11-01,1996,11,1990,100.6,138.11961900403307,33.77659574468084,50.149253731343265,13.695256759147128,True,up,
1996-12-01,1996,12,1990,140.7,193.17525242412975,39.86083499005964,91.95088676671213,17.13010393177558,True,up,
1997-01-01,1997,1,1990,159.5,218.9868710849232,13.361762615493976,91.0179640718563,17.109876160341127,True,up,
1997-02-01,1997,2,1990,119.9,164.61771688452848,-24.827586206896544,24.24870466321245,19.075010096193793,True,down,
1997-03-01,1997,3,1990,78.5,107.77723749320674,-34.528773978315265,-8.508158508158504,21.70851349198202,True,down,
