date,year,month,decade,coal_ppi_nominal,coal_index_2024base,mom_pct,yoy_pct,rolling_vol_12m,shock,direction,event
1991-11-01,1991,11,1990,97.1,33.464391670089114,1.2513034410844615,-1.7206477732793601,0.734773425922685,False,up,clean_air_act_1990
1991-12-01,1991,12,1990,96.3,33.18868092512442,-0.8238928939237833,-1.634320735444339,0.7268808693845829,False,down,clean_air_act_1990
1992-01-01,1992,1,1990,93.7,32.29262100398918,-2.699896157840076,-4.873096446700509,0.9962676056018247,False,down,clean_air_act_1990
1992-02-01,1992,2,1990,94.5,32.568331748953874,0.8537886872998834,-3.7678207739307523,1.061486433253512,False,up,clean_air_act_1990
1992-03-01,1992,3,1990,93.8,32.327084847109774,-0.7407407407407418,-3.696098562628347,1.058529263613853,False,down,clean_air_act_1990
1992-04-01,1992,4,1990,94.8,32.67172327831563,1.0660980810234477,-2.5693730729701936,1.1304825491615325,False,up,clean_air_act_1990
1992-05-01,1992,5,1990,95.0,32.74065096455681,0.21097046413502962,-2.162718846549938,1.1370332309397064,False,up,clean_air_act_1990
1992-06-01,1992,6,1990,96.0,33.085289395762665,1.0526315789473717,-2.0408163265306145,1.1486428064059457,False,up,clean_air_act_1990
1992-07-01,1992,7,1990,95.3,32.844042493918565,-0.7291666666666696,-2.3565573770491732,1.158501014209182,False,down,clean_air_act_1990
1992-08-01,1992,8,1990,95.1,32.77511480767739,-0.20986358866736943,-1.552795031055898,1.128785729670088,False,down,clean_air_act_1990
1992-09-01,1992,9,1990,95.1,32.77511480767739,0.0,-1.552795031055898,1.128785729670088,False,flat,clean_air_act_1990
1992-10-01,1992,10,1990,95.7,32.981897866400914,0.630914826498441,-0.2085505735140769,1.1310877540481623,False,up,clean_air_act_1990
1992-11-01,1992,11,1990,94.8,32.67172327831563,-0.9404388714733591,-2.3686920700308978,1.0846428817007456,False,down,clean_air_act_1990
1992-12-01,1992,12,1990,96.5,33.2576086113656,1.793248945147674,0.20768431983384517,1.2031494729569079,False,up,clean_air_act_1990
1993-01-01,1993,1,1990,95.6,32.94743402328032,-0.9326424870466421,2.027748132337237,0.912473056284455,False,down,
1993-02-01,1993,2,1990,94.9,32.70618712143622,-0.7322175732217495,0.4232804232804366,0.9194564434001572,False,down,
1993-03-01,1993,3,1990,94.9,32.70618712143622,0.0,1.1727078891258014,0.886623025551768,False,flat,
1993-04-01,1993,4,1990,94.6,32.602795592074465,-0.31612223393046035,-0.21097046413502962,0.8382829812572329,False,down,
1993-05-01,1993,5,1990,94.1,32.43047637647153,-0.5285412262156397,-0.9473684210526412,0.8473430264180758,False,down,
1993-06-01,1993,6,1990,94.1,32.43047637647153,0.0,-1.9791666666666763,0.7709196568653645,False,flat,
1993-07-01,1993,7,1990,94.4,32.53386790583329,0.31880977683316214,-0.9443861490031402,0.7603291819470649,False,up,
1993-08-01,1993,8,1990,95.5,32.91297018015974,1.165254237288127,0.4206098843322792,0.8380405045559777,False,up,
1993-09-01,1993,9,1990,97.8,33.705638571933214,2.408376963350789,2.8391167192429068,1.0811781349690335,False,up,
1993-10-01,1993,10,1990,100.3,34.56723464994787,2.556237218813906,4.806687565308243,1.2708597296076116,False,up,
1993-11-01,1993,11,1990,99.5,34.29152390498318,-0.7976071784645988,4.957805907173007,1.257772445400701,False,down,
1993-12-01,1993,12,1990,97.5,33.602247042571456,-2.010050251256279,1.0362694300518172,1.353417486746867,False,down,
1994-01-01,1994,1,1990,97.3,33.53331935633029,-0.20512820512821328,1.778242677824271,1.3190933610224398,False,down,
1994-02-01,1994,2,1990,96.1,33.119753238883256,-1.2332990750256956,1.264488935721797,1.3571123567984174,False,down,
1994-03-01,1994,3,1990,96.2,33.15421708200384,0.10405827263268996,1.3698630136986356,1.356655934709391,False,up,
1994-04-01,1994,4,1990,96.5,33.2576086113656,0.31185031185030354,2.008456659619462,1.3503234870019105,False,up,
1994-05-01,1994,5,1990,96.8,33.361000140727356,0.31088082901553626,2.869287991498415,1.332232830350907,False,up,
1994-06-01,1994,6,1990,95.5,32.91297018015974,-1.342975206611563,1.4877789585547418,1.4088116450301038,False,down,
1994-07-01,1994,7,1990,95.6,32.94743402328032,0.10471204188480243,1.2711864406779627,1.4075887053086977,False,up,
1994-08-01,1994,8,1990,96.2,33.15421708200384,0.6276150627615218,0.732984293193728,1.3793716872666344,False,up,
1994-09-01,1994,9,1990,97.8,33.705638571933214,1.6632016632016633,0.0,1.2775216691213165,False,up,
1994-10-01,1994,10,1990,98.4,33.91242163065674,0.6134969325153561,-1.8943170488534333,1.0228820822071407,False,up,
1994-11-01,1994,11,1990,98.3,33.87795778753615,-0.1016260162601701,-1.2060301507537674,1.0026293022438821,False,down,
1994-12-01,1994,12,1990,95.5,32.91297018015974,-2.8484231943031513,-2.051282051282055,1.1642733924556172,False,down,
1995-01-01,1995,1,1990,91.9,31.672271827818637,-3.7696335078533982,-5.549845837615608,1.5618908322557508,True,down,
1995-02-01,1995,2,1990,94.6,32.602795592074465,2.9379760609357763,-1.5608740894901163,1.8181091158613687,False,up,
1995-03-01,1995,3,1990,96.9,33.39546398384795,2.4312896405919826,0.7276507276507305,1.9621055035841617,False,up,
1995-04-01,1995,4,1990,95.9,33.05082555264208,-1.031991744066052,-0.6217616580310836,1.9857645830490354,False,down,
1995-05-01,1995,5,1990,93.9,32.361548690230364,-2.085505735140769,-2.9958677685950286,2.0667949618827697,False,down,
1995-06-01,1995,6,1990,94.3,32.4994040627127,0.42598509052182987,-1.2565445026178068,2.0434203153305197,False,up,
1995-07-01,1995,7,1990,96.0,33.085289395762665,1.802757158006374,0.4184100418409997,2.1153602947466847,False,up,
1995-08-01,1995,8,1990,95.3,32.844042493918565,-0.7291666666666696,-0.9355509355509439,2.118254603129312,False,down,
1995-09-01,1995,9,1990,95.2,32.809578650797974,-0.10493179433367361,-2.658486707566454,2.048002479531804,False,down,
1995-10-01,1995,10,1990,96.4,33.223144768245014,1.2605042016806678,-2.0325203252032464,2.079779529235704,False,up,
1995-11-01,1995,11,1990,94.8,32.67172327831563,-1.6597510373444035,-3.560528992878942,2.124568230878072,False,down,
1995-12-01,1995,12,1990,94.7,32.63725943519505,-0.10548523206750371,-0.8376963350785305,1.9647658419881975,False,down,
1996-01-01,1996,1,1990,92.1,31.741199514059808,-2.745512143611417,0.21762785636560977,1.8043088451565485,False,down,
1996-02-01,1996,2,1990,95.3,32.844042493918565,3.4744842562432154,0.7399577167019,1.8875612141626612,True,up,
1996-03-01,1996,3,1990,95.7,32.981897866400914,0.41972717733473885,-1.2383900928792602,1.743357601772151,False,up,
1996-04-01,1996,4,1990,94.3,32.4994040627127,-1.4629049111807846,-1.6684045881126264,1.7687792035368837,False,down,
1996-05-01,1996,5,1990,97.0,33.42992782696853,2.8632025450689325,3.301384451544198,1.8455702102986253,False,up,
1996-06-01,1996,6,1990,95.0,32.74065096455681,-2.0618556701030966,0.7423117709437932,1.9643953298504193,False,down,
1996-07-01,1996,7,1990,93.3,32.15476563150684,-1.7894736842105297,-2.8125000000000067,1.9515422228249026,False,down,
1996-08-01,1996,8,1990,96.4,33.223144768245014,3.3226152197213477,1.1542497376705319,2.191248434685624,True,up,
1996-09-01,1996,9,1990,93.6,32.2581571608686,-2.904564315352709,-1.6806722689075682,2.3596569567903742,False,down,
1996-10-01,1996,10,1990,93.3,32.15476563150684,-0.3205128205128194,-3.2157676348547826,2.319626495378068,False,down,
1996-11-01,1996,11,1990,94.6,32.602795592074465,1.3933547695605508,-0.21097046413502962,2.3180814343215945,False,up,
1996-12-01,1996,12,1990,93.7,32.29262100398918,-0.9513742071881492,-1.055966209081305,2.3346128229457577,False,down,
1997-01-01,1997,1,1990,97.3,33.53331935633029,3.842049092849509,5.646036916395225,2.419603182412873,True,up,
1997-02-01,1997,2,1990,94.6,32.602795592074465,-2.7749229188078095,-0.7345225603357819,2.3901257182425684,False,down,
1997-03-01,1997,3,1990,96.7,33.32653629760677,2.2198731501057223,1.0449320794148287,2.476227717405425,False,up,
1997-04-01,1997,4,1990,100.3,34.56723464994787,3.7228541882109667,6.362672322375396,2.623988321260628,True,up,
1997-05-01,1997,5,1990,95.2,32.809578650797974,-5.0847457627118615,-1.855670103092777,2.9668229424221093,True,down,
1997-06-01,1997,6,1990,96.9,33.39546398384795,1.7857142857142794,2.0000000000000018,2.9451892775628785,False,up,
