Month,lat,lon,ssh
2014-09,24.025,-94.95,-0.20340233
2014-10,24.025,-94.95,-0.10503494321290323
2014-11,24.025,-94.95,0.09747233306666667
2014-12,24.025,-94.95,-0.1048963279548387
2015-01,24.025,-94.95,-0.2813578474193548
2015-02,24.025,-94.95,-0.24426589714285712
2015-03,24.025,-94.95,-0.2668313658064516
2015-04,24.025,-94.95,-0.251545565
2015-05,24.025,-94.95,-0.20211931774193548
2015-06,24.025,-94.95,-0.029831103166666668
2015-07,24.025,-94.95,0.024929535201935485
2015-08,24.025,-94.95,-0.06616252128064516
2015-09,24.025,-94.95,-0.08055363383333333
2015-10,24.025,-94.95,-0.12933889829032258
2015-11,24.025,-94.95,-0.10516397913333334
2015-12,24.025,-94.95,0.0804246411483871
2016-01,24.025,-94.95,-0.13505957912903224
2016-02,24.025,-94.95,-0.06185294265517241
2016-03,24.025,-94.95,-0.18777772999999998
2016-04,24.025,-94.95,-0.26756288466666667
2016-05,24.025,-94.95,-0.2820862509677419
2016-06,24.025,-94.95,-0.25207877333333334
2016-07,24.025,-94.95,-0.2574190929032258
2016-08,24.025,-94.95,-0.22444308903225807
2016-09,24.025,-94.95,-0.24669096100000001
2016-10,24.025,-94.95,-0.16227672712903224
2016-11,24.025,-94.95,0.15698517733333334
2016-12,24.025,-94.95,0.11284316132258064
2017-01,24.025,-94.95,-0.09275954417096774
2017-02,24.025,-94.95,-0.15390928375000001
2017-03,24.025,-94.95,-0.20054088729032257
2017-04,24.025,-94.95,-0.3127910943333333
2017-05,24.025,-94.95,-0.29578599903225805
2017-06,24.025,-94.95,-0.281448706
2017-07,24.025,-94.95,-0.20347078225806453
2017-08,24.025,-94.95,0.03780195566451613
2017-09,24.025,-94.95,0.09634587298333333
2017-10,24.025,-94.95,-0.029621831362258065
2017-11,24.025,-94.95,-0.21008891633333335
2017-12,24.025,-94.95,-0.23512256193548386
2018-01,24.025,-94.95,-0.19077339709677418
2018-02,24.025,-94.95,-0.1413722952857143
2018-03,24.025,-94.95,0.1118330869
2018-04,24.025,-94.95,0.15363833773333332
2018-05,24.025,-94.95,-0.0015657893435483874
2018-06,24.025,-94.95,-0.0623306215
2018-07,24.025,-94.95,-0.1783485186451613
2018-08,24.025,-94.95,-0.21790099548387096
2018-09,24.025,-94.95,-0.17331274719999998
2018-10,24.025,-94.95,-0.011328978135483872
2018-11,24.025,-94.95,-0.01601572765
2018-12,24.025,-94.95,-0.043603696058064516
2019-01,24.025,-94.95,-0.18045683999999998
2019-02,24.025,-94.95,-0.2251170367857143
2019-03,24.025,-94.95,-0.2139466729032258
2019-04,24.025,-94.95,-0.23773469
2019-05,24.025,-94.95,-0.18053590138709677
2019-06,24.025,-94.95,-0.14433522153333334
2019-07,24.025,-94.95,-0.2562802096774193
2019-08,24.025,-94.95,-0.25052898258064515
2019-09,24.025,-94.95,-0.19616909966666668
2019-10,24.025,-94.95,-0.20302840161290323
2019-11,24.025,-94.95,-0.183422459
2019-12,24.025,-94.95,-0.17770432806451614
2020-01,24.025,-94.95,-0.11928362220645161
2020-02,24.025,-94.95,0.03562041784482759
2020-03,24.025,-94.95,-0.1009428775
2020-04,24.025,-94.95,-0.00324371203
2020-05,24.025,-94.95,-0.037115328612903224
2020-06,24.025,-94.95,-0.11739024736666666
2020-07,24.025,-94.95,-0.038663840451612905
2020-08,24.025,-94.95,0.04463425626258064
2020-09,24.025,-94.95,-0.0007346875583333334
2020-10,24.025,-94.95,-0.030533893629032256
2020-11,24.025,-94.95,-0.024109951533333333
2020-12,24.025,-94.95,0.10146212748387097
2021-01,24.025,-94.95,0.07821088775806452
2021-02,24.025,-94.95,-0.14216013269642858
2021-03,24.025,-94.95,-0.25141025483870966
2021-04,24.025,-94.95,-0.273043295
2021-05,24.025,-94.95,-0.2928772241935484
2021-06,24.025,-94.95,-0.192444945
2021-07,24.025,-94.95,-0.19039901806451615
2021-08,24.025,-94.95,-0.14860844961290323
2021-09,24.025,-94.95,-0.16298858766666668
2021-10,24.025,-94.95,-0.1974531170967742
2021-11,24.025,-94.95,-0.21066873833333333
