date,petroleum_ppi_nominal,year,month,decade,petroleum_index_2024base,mom_pct,yoy_pct,rolling_vol_12m,shock,direction,event
1977-01-01,35.8,1977,1,1970,17.19910081051163,-0.8310249307479367,-0.2785515320334331,2.878041246680994,False,flat,
1977-02-01,37.4,1977,2,1970,17.96777570707081,4.469273743016755,13.33333333333333,1.7139142553349762,False,up,
1977-03-01,36.8,1977,3,1970,17.679522620861114,-1.6042780748663166,11.178247734138957,1.871825934717664,False,down,
1977-04-01,37.0,1977,4,1970,17.775606982931016,0.5434782608695787,10.77844311377245,1.8746907280707372,False,flat,
1977-05-01,37.0,1977,5,1970,17.775606982931016,0.0,10.447761194029859,1.884975195659444,False,flat,
1977-06-01,37.1,1977,6,1970,17.823649163965964,0.2702702702702675,9.763313609467472,1.8921556905804786,False,flat,
1977-07-01,36.9,1977,7,1970,17.727564801896065,-0.5390835579514919,6.340057636887586,1.829619003785037,False,flat,
1977-08-01,37.3,1977,8,1970,17.91973352603586,1.084010840108407,7.492795389048967,1.827907383145838,False,up,
1977-09-01,37.6,1977,9,1970,18.06386006914071,0.8042895442359255,8.35734870317002,1.817867562380396,False,flat,
1977-10-01,38.0,1977,10,1970,18.256028793280503,1.0638297872340496,5.263157894736836,1.4937790475406916,False,up,
1977-11-01,38.6,1977,11,1970,18.544281879490196,1.5789473684210575,6.9252077562326875,1.5209459005646653,False,up,
1977-12-01,39.3,1977,12,1970,18.880577146734833,1.8134715025906578,8.864265927977822,1.5489994491772474,False,up,
1978-01-01,39.4,1978,1,1970,18.928619327769784,0.2544529262086481,10.05586592178771,1.4802909469367882,False,flat,
1978-02-01,39.5,1978,2,1970,18.97666150880473,0.2538071065989911,5.614973262032086,0.9320166661885637,False,flat,
1978-03-01,40.0,1978,3,1970,19.216872413979477,1.2658227848101333,8.69565217391306,0.691199664846167,False,up,
1978-04-01,40.1,1978,4,1970,19.264914595014424,0.24999999999999467,8.378378378378383,0.7023222750891976,False,flat,
1978-05-01,40.3,1978,5,1970,19.360998957084323,0.4987531172069737,8.918918918918916,0.672886985506531,False,flat,
1978-06-01,40.8,1978,6,1970,19.601209862259065,1.2406947890818865,9.97304582210241,0.6726903657969011,False,up,
1978-07-01,41.2,1978,7,1970,19.79337858639886,0.9803921568627638,11.65311653116532,0.5250526564977236,False,flat,
1978-08-01,41.3,1978,8,1970,19.841420767433807,0.24271844660193054,10.72386058981234,0.5569486181407576,False,flat,
1978-09-01,41.7,1978,9,1970,20.033589491573604,0.9685230024213176,10.904255319148938,0.5576353095846986,False,flat,
1978-10-01,41.9,1978,10,1970,20.1296738536435,0.47961630695443347,10.26315789473684,0.5644089718585517,False,flat,
1978-11-01,42.3,1978,11,1970,20.321842577783293,0.9546539379474916,9.585492227979264,0.5145565201293316,False,flat,
1978-12-01,42.6,1978,12,1970,20.465969120888143,0.7092198581560405,8.3969465648855,0.3952988328787532,False,flat,
1979-01-01,43.1,1979,1,1970,20.70618002606289,1.1737089201877993,9.390862944162448,0.3954870921620164,False,up,iran_crisis_1979
1979-02-01,43.9,1979,2,1970,21.090517474342473,1.8561484918793392,11.139240506329106,0.4747368914131633,False,up,
1979-03-01,44.2,1979,3,1970,21.23464401744732,0.6833712984054774,10.499999999999998,0.4618646053263754,False,flat,
1979-04-01,44.5,1979,4,1970,21.37877056055217,0.6787330316742057,10.97256857855362,0.4276907141428722,False,flat,
1979-05-01,45.8,1979,5,1970,22.0033189140065,2.921348314606731,13.647642679900752,0.7123919113055251,False,up,
1979-06-01,48.6,1979,6,1970,23.348499982985064,6.113537117903944,19.11764705882355,1.6229053415292776,False,up,
1979-07-01,50.5,1979,7,1970,24.26130142264909,3.9094650205761194,22.572815533980584,1.7557389978804645,False,up,
1979-08-01,52.6,1979,8,1970,25.27018722438301,4.158415841584162,27.360774818401957,1.8181231312717328,False,up,
1979-09-01,57.6,1979,9,1970,27.67229627613045,9.505703422053235,38.129496402877685,2.774821819482865,True,up,
1979-10-01,59.5,1979,10,1970,28.585097715794472,3.298611111111116,42.00477326968974,2.681798629847056,False,up,
1979-11-01,61.4,1979,11,1970,29.497899155458494,3.1932773109243584,45.15366430260048,2.603539808950304,False,up,
1979-12-01,64.2,1979,12,1970,30.84308022443706,4.56026058631922,50.70422535211267,2.506363566208099,False,up,
1980-01-01,70.0,1980,1,1980,33.62952672446408,9.034267912772576,62.412993039443144,2.846034164354872,True,up,
1980-02-01,70.2,1980,2,1980,33.72561108653398,0.28571428571428914,59.90888382687929,2.993843007640638,False,flat,
